,prop. core,prop. excl.,prop. low compl.,abs. diff. core - excl.,abs. diff. core - low coml.,z-val (core/excl.),p-val (core/excl.),z-val (core/low compl.),p-val (core/low compl.)
$1500 - $2999,9.515717926932881,5.429864253393665,8.270676691729323,4.085853673539216,1.2450412352035585,1.9603120367979494,0.04995932999730709,0.7435885660896763,0.4571254226164444
$500 - $999,16.90739167374681,17.647058823529413,18.546365914786968,0.7396671497826013,1.638974241040156,-0.2684459226677056,0.7883560950381363,-0.7476035973955512,0.45469929421799393
Less than $249,39.33729821580289,43.43891402714932,51.37844611528822,4.101615811346434,12.041147899485331,-1.1421050404567532,0.253410360559733,-4.20619614621552,2.597048538344068e-05
$250 - $499,14.953271028037381,15.384615384615385,8.270676691729323,0.43134435657800374,6.682594336308059,-0.16468126966314275,0.8691948603237862,3.401265107318104,0.0006707474489564314
Dont know,3.058623619371283,3.167420814479638,2.506265664160401,0.10879719510835484,0.5523579552108822,-0.08595116697691697,0.931505236604429,0.5664332878388998,0.5710992713115086
$1000 -$1499,12.829226847918438,12.217194570135746,9.022556390977442,0.6120322777826921,3.8066704569409957,0.25045076602278554,0.8022387745886949,2.0320114057053744,0.042152501294903395
more than $3000,3.3984706881903146,2.7149321266968327,2.0050125313283207,0.6835385614934819,1.393458156861994,0.5226773883820175,0.6011987761397778,1.3997949492870692,0.16157473072867756
