states,estimate_totalPop,percente_male,percente_female,estimate_male,estimate_female,percent_oneRace,percent_more1race,percent_oneRace_white,percent_oneRace_asian,percent_oneRace_black,percent_oneRace_nativeAm,percent_oneRace_pacificIsl,percent_oneRace_other,percent_HispOrLat,percent_NotHispOrLat,estimate_oneRace,estimate_more1race,estimate_oneRace_white,estimate_oneRace_asian,estimate_oneRace_black,estimate_oneRace_nativeAm,estimate_oneRace_pacificIsl,estimate_HispOrLat,estimate_NotHispOrLat,estimate_male_age_15to19,estimate_male_age_20to24,estimate_male_age_25to29,estimate_male_age_30to34,estimate_male_age_35to39,estimate_male_age_40to44,estimate_male_age_45to49,estimate_male_age_50to54,estimate_male_age_55to59,estimate_male_age_60to64,estimate_male_age_65to69,estimate_male_age_70to74,estimate_male_age_75to79,estimate_male_age_80to84,estimate_male_age_85andOver,precent_male_age_15to19,precent_male_age_20to24,precent_male_age_25to29,precent_male_age_30to34,precent_male_age_35to39,precent_male_age_40to44,precent_male_age_45to49,precent_male_age_50to54,precent_male_age_55to59,precent_male_age_60to64,precent_male_age_65to69,precent_male_age_70to74,precent_male_age_75to79,precent_male_age_80to84,precent_male_age_85andOver,estimate_female_age_15to19,estimate_female_age_20to24,estimate_female_age_25to29,estimate_female_age_30to34,estimate_female_age_35to39,estimate_female_age_40to44,estimate_female_age_45to49,estimate_female_age_50to54,estimate_female_age_55to59,estimate_female_age_60to64,estimate_female_age_65to69,estimate_female_age_70to74,estimate_female_age_75to79,estimate_female_age_80to84,estimate_female_age_85andOver,precent_female_age_15to19,precent_female_age_20to24,precent_female_age_25to29,precent_female_age_30to34,precent_female_age_35to39,precent_female_age_40to44,precent_female_age_45to49,precent_female_age_50to54,precent_female_age_55to59,precent_female_age_60to64,precent_female_age_65to69,precent_female_age_70to74,precent_female_age_75to79,precent_female_age_80to84,precent_female_age_85andOver,precent_total_age_15to19,precent_total_age_20to24,precent_total_age_25to29,precent_total_age_30to34,precent_total_age_35to39,precent_total_age_40to44,precent_total_age_45to49,precent_total_age_50to54,precent_total_age_55to59,precent_total_age_60to64,precent_total_age_65to69,precent_total_age_70to74,precent_total_age_75to79,precent_total_age_80to84,precent_total_age_85andOver
Georgia,10297484,48.7,51.3,5012229,5285255,97.5,2.5,59,3.9,31.5,0.3,0.1,2.8,9.4,90.6,10045036,252448,6079976,402501,3239300,33484,6095,968463,9329021,367211,367287,362366,338616,334236,330002,343056,340861,314971,270411,222023,159804,101876,59748,43664,7.3,7.3,7.2,6.8,6.7,6.6,6.8,6.8,6.3,5.4,4.4,3.2,2,1.2,0.9,353995,351359,365322,353480,356064,352249,361891,361447,341093,308193,259646,193751,132646,89416,89715,6.7,6.6,6.9,6.7,6.7,6.7,6.8,6.8,6.5,5.8,4.9,3.7,2.5,1.7,1.7,7,7,7.1,6.7,6.7,6.6,6.8,6.8,6.4,5.6,4.7,3.4,2.3,1.4,1.3
Hawaii,1422029,50.2,49.8,713772,708257,76,24,25,37.8,1.8,0.2,10.1,1.1,10.4,89.6,1080273,341756,355612,536842,26266,2987,143274,147962,1274067,40023,53859,55520,51456,45573,44904,43746,44538,45570,44182,40454,26963,18110,12013,13638,5.6,7.5,7.8,7.2,6.4,6.3,6.1,6.2,6.4,6.2,5.7,3.8,2.5,1.7,1.9,37651,42960,49267,48892,45560,41907,43226,45115,47219,45737,42244,29417,20523,17498,25095,5.3,6.1,7,6.9,6.4,5.9,6.1,6.4,6.7,6.5,6,4.2,2.9,2.5,3.5,5.5,6.8,7.4,7.1,6.4,6.1,6.1,6.3,6.5,6.3,5.8,4,2.7,2.1,2.7
Idaho,1687809,50.1,49.9,845564,842245,97.2,2.8,90.5,1.4,0.7,1.4,0.2,3.1,12.4,87.6,1641217,46592,1527262,23758,11536,22790,2761,209073,1478736,61988,59320,56883,54666,55210,50499,49737,50218,50707,50687,44076,30975,21128,13172,10544,7.3,7,6.7,6.5,6.5,6,5.9,5.9,6,6,5.2,3.7,2.5,1.6,1.2,58645,54065,54597,54060,53223,50272,48399,50705,54800,50802,45129,33420,22757,15359,17241,7,6.4,6.5,6.4,6.3,6,5.7,6,6.5,6,5.4,4,2.7,1.8,2,7.1,6.7,6.6,6.4,6.4,6,5.8,6,6.3,6,5.3,3.8,2.6,1.7,1.6
Illinois,12821497,49.1,50.9,6295915,6525582,97.5,2.5,71.7,5.4,14.2,0.2,0,5.9,17,83,12503084,318413,9189185,690822,1824125,31864,4582,2174842,10646655,432224,445297,454479,443198,420224,404320,413405,428672,423041,376275,291081,210099,141562,95207,83698,6.9,7.1,7.2,7,6.7,6.4,6.6,6.8,6.7,6,4.6,3.3,2.2,1.5,1.3,415354,430020,443317,438307,421333,406176,422013,442449,445723,404508,328198,250247,184258,140699,169854,6.4,6.6,6.8,6.7,6.5,6.2,6.5,6.8,6.8,6.2,5,3.8,2.8,2.2,2.6,6.6,6.8,7,6.9,6.6,6.3,6.5,6.8,6.8,6.1,4.8,3.6,2.5,1.8,2
Indiana,6637426,49.3,50.7,3271068,3366358,97.6,2.4,83.6,2.2,9.3,0.2,0,2.2,6.8,93.2,6475131,162295,5548277,144991,619472,14925,2818,450267,6187159,234266,245408,220237,209798,209675,200135,209750,219912,218036,200942,159055,111555,75560,49330,40967,7.2,7.5,6.7,6.4,6.4,6.1,6.4,6.7,6.7,6.1,4.9,3.4,2.3,1.5,1.3,224082,232296,217332,209565,209727,202177,209651,225242,230896,210677,177261,129824,97057,70047,85407,6.7,6.9,6.5,6.2,6.2,6,6.2,6.7,6.9,6.3,5.3,3.9,2.9,2.1,2.5,6.9,7.2,6.6,6.3,6.3,6.1,6.3,6.7,6.8,6.2,5.1,3.6,2.6,1.8,1.9
Iowa,3132499,49.6,50.4,1554481,1578018,97.9,2.1,90.3,2.4,3.5,0.4,0.1,1.3,5.9,94.1,3066729,65770,2827889,75083,109911,11549,3129,183296,2949203,110067,117665,99723,101108,99404,88682,93739,101437,104817,100240,78594,55674,40005,27572,25495,7.1,7.6,6.4,6.5,6.4,5.7,6,6.5,6.7,6.4,5.1,3.6,2.6,1.8,1.6,104673,111107,96093,96609,95418,87513,92343,102069,108571,100295,83400,62021,49756,39373,51422,6.6,7,6.1,6.1,6,5.5,5.9,6.5,6.9,6.4,5.3,3.9,3.2,2.5,3.3,6.9,7.3,6.3,6.3,6.2,5.6,5.9,6.5,6.8,6.4,5.2,3.8,2.9,2.1,2.5
Kansas,2908776,49.8,50.2,1449413,1459363,96.5,3.5,84.6,2.9,5.8,0.8,0.1,2.3,11.7,88.3,2807732,101044,2460619,83531,169801,24050,2143,340616,2568160,103249,114770,99768,96800,92248,85304,84853,91287,96152,85068,69846,47475,33026,23116,21564,7.1,7.9,6.9,6.7,6.4,5.9,5.9,6.3,6.6,5.9,4.8,3.3,2.3,1.6,1.5,97295,102392,92544,94108,88271,84568,84162,92935,96511,92319,73309,54390,41954,32691,40406,6.7,7,6.3,6.4,6,5.8,5.8,6.4,6.6,6.3,5,3.7,2.9,2.2,2.8,6.9,7.5,6.6,6.6,6.2,5.8,5.8,6.3,6.6,6.1,4.9,3.5,2.6,1.9,2.1
Kentucky,4440204,49.2,50.8,2186715,2253489,97.8,2.2,87.1,1.4,8,0.2,0.1,1,3.6,96.4,4340378,99826,3866676,62802,354112,9888,2814,158744,4281460,148320,159457,149271,140310,138038,138912,142750,150321,150850,133534,111884,80795,53660,32428,25714,6.8,7.3,6.8,6.4,6.3,6.4,6.5,6.9,6.9,6.1,5.1,3.7,2.5,1.5,1.2,142076,147174,146552,138502,139907,137624,144818,156215,159114,145777,125359,93662,67221,49036,51750,6.3,6.5,6.5,6.1,6.2,6.1,6.4,6.9,7.1,6.5,5.6,4.2,3,2.2,2.3,6.5,6.9,6.7,6.3,6.3,6.2,6.5,6.9,7,6.3,5.3,3.9,2.7,1.8,1.7
Louisiana,4663616,48.9,51.1,2279968,2383648,98,2,62.2,1.7,32.2,0.6,0,1.3,5,95,4572053,91563,2901106,79872,1502916,26272,1468,234920,4428696,155164,166617,171475,162487,151846,133405,137771,147343,149546,137069,111225,75941,51798,31648,25294,6.8,7.3,7.5,7.1,6.7,5.9,6,6.5,6.6,6,4.9,3.3,2.3,1.4,1.1,146336,162709,171621,164309,151197,139749,143848,157744,161386,150438,123238,92211,66799,48288,50265,6.1,6.8,7.2,6.9,6.3,5.9,6,6.6,6.8,6.3,5.2,3.9,2.8,2,2.1,6.5,7.1,7.4,7,6.5,5.9,6,6.5,6.7,6.2,5,3.6,2.5,1.7,1.6
Maine,1332813,48.9,51.1,652299,680514,97.8,2.2,94.5,1.1,1.3,0.6,0,0.2,1.6,98.4,1303605,29208,1259217,14917,17881,8302,318,21421,1311392,40637,39902,39578,38216,36633,38475,43732,49817,52468,48688,43749,29707,19329,12801,11865,6.2,6.1,6.1,5.9,5.6,5.9,6.7,7.6,8,7.5,6.7,4.6,3,2,1.8,39110,37451,39039,39013,37688,39921,45494,51691,55803,52465,45420,33552,23801,17484,21468,5.7,5.5,5.7,5.7,5.5,5.9,6.7,7.6,8.2,7.7,6.7,4.9,3.5,2.6,3.2,6,5.8,5.9,5.8,5.6,5.9,6.7,7.6,8.1,7.6,6.7,4.7,3.2,2.3,2.5
Maryland,6003435,48.5,51.5,2910323,3093112,96.7,3.3,56.2,6.2,29.8,0.3,0.1,4.2,9.8,90.2,5804066,199369,3373181,374277,1788090,15644,3059,588912,5414523,195982,198303,209055,201992,191659,181182,197922,211521,201096,174777,137519,96912,64474,41872,37089,6.7,6.8,7.2,6.9,6.6,6.2,6.8,7.3,6.9,6,4.7,3.3,2.2,1.4,1.3,188519,191044,207708,209316,201341,192099,213331,229151,220599,196772,160239,118940,86661,60222,71409,6.1,6.2,6.7,6.8,6.5,6.2,6.9,7.4,7.1,6.4,5.2,3.8,2.8,1.9,2.3,6.4,6.5,6.9,6.9,6.5,6.2,6.9,7.3,7,6.2,5,3.6,2.5,1.7,1.8
Massachusetts,6830193,48.5,51.5,3313979,3516214,96.8,3.2,78.5,6.5,7.5,0.2,0,4.2,11.6,88.4,6614700,215493,5360006,442574,510558,14493,2329,789127,6041066,231449,246658,249841,231315,203435,205395,223410,241487,233331,206405,162810,120067,76277,54287,51154,7,7.4,7.5,7,6.1,6.2,6.7,7.3,7,6.2,4.9,3.6,2.3,1.6,1.5,227932,245831,248151,234335,211385,214491,236974,254905,248449,227262,186200,142678,101225,79591,103935,6.5,7,7.1,6.7,6,6.1,6.7,7.2,7.1,6.5,5.3,4.1,2.9,2.3,3,6.7,7.2,7.3,6.8,6.1,6.1,6.7,7.3,7.1,6.3,5.1,3.8,2.6,2,2.3
Michigan,9957488,49.2,50.8,4899118,5058370,97.2,2.8,78.5,3.1,13.8,0.5,0,1.2,5,95,9673770,283718,7818588,304403,1375424,53235,2979,497897,9459591,342277,366510,331851,297916,291756,289022,320074,344126,350830,324025,259851,185639,124857,79592,70555,7,7.5,6.8,6.1,6,5.9,6.5,7,7.2,6.6,5.3,3.8,2.5,1.6,1.4,326837,350639,319172,296910,294852,294670,326234,354837,371246,343750,283996,213767,152714,114420,135553,6.5,6.9,6.3,5.9,5.8,5.8,6.4,7,7.3,6.8,5.6,4.2,3,2.3,2.7,6.7,7.2,6.5,6,5.9,5.9,6.5,7,7.3,6.7,5.5,4,2.8,1.9,2.1
Minnesota,5527358,49.8,50.2,2751748,2775610,97.1,2.9,83.3,4.7,6.2,1.1,0,1.8,5.3,94.7,5369591,157767,4606044,262359,342186,58982,2187,292764,5234594,182353,183885,188730,194922,182777,164773,174263,190011,194870,170243,133588,93172,63535,42503,41398,6.6,6.7,6.9,7.1,6.6,6,6.3,6.9,7.1,6.2,4.9,3.4,2.3,1.5,1.5,174145,178049,179320,189972,176299,161719,171011,190429,198585,173726,141179,102752,77644,59403,74938,6.3,6.4,6.5,6.8,6.4,5.8,6.2,6.9,7.2,6.3,5.1,3.7,2.8,2.1,2.7,6.4,6.5,6.7,7,6.5,5.9,6.2,6.9,7.1,6.2,5,3.5,2.6,1.8,2.1
Mississippi,2988762,48.5,51.5,1450379,1538383,98.7,1.3,58.6,0.9,37.7,0.5,0,1,3,97,2948569,40193,1751193,28313,1125834,13689,707,90493,2898269,108558,107795,100717,90580,92633,88342,88387,93735,94243,86333,71248,51581,36006,20518,15226,7.5,7.4,6.9,6.2,6.4,6.1,6.1,6.5,6.5,6,4.9,3.6,2.5,1.4,1,104328,104264,101372,96094,97471,92468,95135,101016,103293,96017,80737,61955,46106,32666,33435,6.8,6.8,6.6,6.2,6.3,6,6.2,6.6,6.7,6.2,5.2,4,3,2.1,2.2,7.1,7.1,6.8,6.2,6.4,6,6.1,6.5,6.6,6.1,5.1,3.8,2.7,1.8,1.6
Missouri,6090062,49.1,50.9,2988772,3101290,97.4,2.6,82.2,1.9,11.6,0.4,0.1,1.2,4.1,95.9,5934734,155328,5008342,116720,704896,26952,6662,249105,5840957,204702,214838,206022,198711,190079,175047,184785,203502,204846,187443,149737,112267,76976,50603,41833,6.8,7.2,6.9,6.6,6.4,5.9,6.2,6.8,6.9,6.3,5,3.8,2.6,1.7,1.4,192117,206417,205093,199198,188912,179482,189784,209889,220493,199860,168190,131292,98004,70311,82479,6.2,6.7,6.6,6.4,6.1,5.8,6.1,6.8,7.1,6.4,5.4,4.2,3.2,2.3,2.7,6.5,6.9,6.8,6.5,6.2,5.8,6.2,6.8,7,6.4,5.2,4,2.9,2,2
Montana,1041732,50.3,49.7,524220,517512,97.2,2.8,88.9,0.8,0.4,6.5,0.1,0.6,3.7,96.3,1012297,29435,925642,7947,4630,67289,757,39019,1002713,33464,38816,34244,33057,32959,29195,29955,33003,36495,37851,31914,23139,15307,9545,7930,6.4,7.4,6.5,6.3,6.3,5.6,5.7,6.3,7,7.2,6.1,4.4,2.9,1.8,1.5,30988,34619,32246,32412,31222,27533,29146,33798,38760,38568,31844,22874,16596,11503,13171,6,6.7,6.2,6.3,6,5.3,5.6,6.5,7.5,7.5,6.2,4.4,3.2,2.2,2.5,6.2,7,6.4,6.3,6.2,5.4,5.7,6.4,7.2,7.3,6.1,4.4,3.1,2,2
Nebraska,1904760,49.9,50.1,949910,954850,97.4,2.6,87.5,2.3,4.8,0.9,0.1,1.9,10.7,89.3,1856160,48600,1666463,44105,90860,17282,1392,203281,1701479,66749,69783,64390,65885,62535,55944,55660,59732,62220,56209,44544,31581,22081,15354,14064,7,7.3,6.8,6.9,6.6,5.9,5.9,6.3,6.6,5.9,4.7,3.3,2.3,1.6,1.5,62601,67103,60569,63533,60669,53511,53974,59682,63150,58720,47799,35129,26737,21525,27266,6.6,7,6.3,6.7,6.4,5.6,5.7,6.3,6.6,6.1,5,3.7,2.8,2.3,2.9,6.8,7.2,6.6,6.8,6.5,5.7,5.8,6.3,6.6,6,4.8,3.5,2.6,1.9,2.2
Nevada,2922849,50.2,49.8,1467165,1455684,95.2,4.8,66.2,8,8.9,1.2,0.7,10.1,28.5,71.5,2782350,140499,1935103,234693,261123,35845,19352,831597,2091252,91456,92840,109890,106517,99481,97941,99550,98101,92745,84302,74286,57648,37116,22677,15710,6.2,6.3,7.5,7.3,6.8,6.7,6.8,6.7,6.3,5.7,5.1,3.9,2.5,1.5,1.1,85757,89438,105969,102119,96169,96375,95944,95051,93462,89783,80033,61156,40082,25384,23959,5.9,6.1,7.3,7,6.6,6.6,6.6,6.5,6.4,6.2,5.5,4.2,2.8,1.7,1.6,6.1,6.2,7.4,7.1,6.7,6.6,6.7,6.6,6.4,6,5.3,4.1,2.6,1.6,1.4
New Hampshire,1343622,49.5,50.5,664983,678639,97.9,2.1,93,2.7,1.5,0.2,0,0.5,3.6,96.4,1315732,27890,1250014,36124,20516,2090,359,48356,1295266,45010,46547,42722,40204,38624,38820,46684,52806,54593,46680,38992,26638,16705,11045,10522,6.8,7,6.4,6,5.8,5.8,7,7.9,8.2,7,5.9,4,2.5,1.7,1.6,43642,43617,39176,39439,38050,40177,47359,54071,55894,48832,40613,29472,20468,14689,18840,6.4,6.4,5.8,5.8,5.6,5.9,7,8,8.2,7.2,6,4.3,3,2.2,2.8,6.6,6.7,6.1,5.9,5.7,5.9,7,8,8.2,7.1,5.9,4.2,2.8,1.9,2.2
New Jersey,8881845,48.8,51.2,4335930,4545915,97.4,2.6,67.9,9.4,13.5,0.2,0,6.4,19.9,80.1,8650896,230949,6031747,832403,1196764,18649,3357,1768020,7113825,290409,287381,290424,285524,283386,282410,304386,322210,308091,263686,205287,148824,102064,67531,65621,6.7,6.6,6.7,6.6,6.5,6.5,7,7.4,7.1,6.1,4.7,3.4,2.4,1.6,1.5,274761,275065,276273,283444,289582,287846,319607,340042,328115,287653,235732,182702,133834,103217,132051,6,6.1,6.1,6.2,6.4,6.3,7,7.5,7.2,6.3,5.2,4,2.9,2.3,2.9,6.4,6.3,6.4,6.4,6.5,6.4,7,7.5,7.2,6.2,5,3.7,2.7,1.9,2.2
New Mexico,2092434,49.5,50.5,1035850,1056584,96.8,3.2,74.5,1.5,2.1,9.6,0.1,9.1,48.5,51.5,2024926,67508,1558886,31513,43006,199896,1514,1015751,1076683,71979,77273,72920,71647,65487,58525,59422,64072,66737,63171,54443,41466,27747,17926,14142,6.9,7.5,7,6.9,6.3,5.6,5.7,6.2,6.4,6.1,5.3,4,2.7,1.7,1.4,68209,70583,68360,67732,62609,60633,61011,67898,73080,69461,61574,45445,32319,23045,23408,6.5,6.7,6.5,6.4,5.9,5.7,5.8,6.4,6.9,6.6,5.8,4.3,3.1,2.2,2.2,6.7,7.1,6.8,6.7,6.1,5.7,5.8,6.3,6.7,6.3,5.5,4.2,2.9,2,1.8
New York,19618453,48.5,51.5,9519555,10098898,96.9,3.1,63.8,8.3,15.6,0.4,0,8.8,18.9,81.1,19019270,599183,12514949,1630341,3068099,79644,8017,3705588,15912865,622577,681064,742377,684918,616111,585959,631943,668150,648749,573750,456740,328161,226282,153959,144728,6.5,7.2,7.8,7.2,6.5,6.2,6.6,7,6.8,6,4.8,3.4,2.4,1.6,1.5,602183,674986,741922,691625,635317,608683,664013,711540,693619,638977,530217,404448,302182,228389,293583,6,6.7,7.3,6.8,6.3,6,6.6,7,6.9,6.3,5.3,4,3,2.3,2.9,6.2,6.9,7.6,7,6.4,6.1,6.6,7,6.8,6.2,5,3.7,2.7,1.9,2.2
North Carolina,10155624,48.7,51.3,4944759,5210865,97.4,2.6,68.9,2.8,21.5,1.2,0.1,3,9.2,90.8,9892323,263301,6994240,282264,2179622,121352,6939,935950,9219674,345254,363939,344310,318284,310634,323661,335652,335438,323640,289633,253388,181219,120326,73844,56327,7,7.4,7,6.4,6.3,6.5,6.8,6.8,6.5,5.9,5.1,3.7,2.4,1.5,1.1,331041,336381,347356,329535,328935,336015,350558,354986,353337,328802,288038,219244,154668,109841,114103,6.4,6.5,6.7,6.3,6.3,6.4,6.7,6.8,6.8,6.3,5.5,4.2,3,2.1,2.2,6.7,6.9,6.8,6.4,6.3,6.5,6.8,6.8,6.7,6.1,5.3,3.9,2.7,1.8,1.7
North Dakota,752201,51.3,48.7,386183,366018,97.6,2.4,87.1,1.4,2.7,5.2,0.1,1,3.5,96.5,733895,18306,655268,10814,20445,39462,378,26529,725672,25083,35547,32642,29397,24267,21177,20737,23332,25372,22980,17215,11960,8477,5855,6358,6.5,9.2,8.5,7.6,6.3,5.5,5.4,6,6.6,6,4.5,3.1,2.2,1.5,1.6,22568,31024,27263,24204,21413,19044,19537,22380,24497,22081,16564,12989,9973,9017,11502,6.2,8.5,7.4,6.6,5.9,5.2,5.3,6.1,6.7,6,4.5,3.5,2.7,2.5,3.1,6.3,8.9,8,7.1,6.1,5.3,5.4,6.1,6.6,6,4.5,3.3,2.5,2,2.4
Ohio,11641879,49,51,5703967,5937912,97.2,2.8,81.5,2.1,12.4,0.2,0,0.9,3.7,96.3,11314790,327089,9489832,249741,1438271,23563,3591,431327,11210552,395322,393945,393824,363447,350595,342335,368484,392569,405748,369540,299475,204267,144488,92737,84266,6.9,6.9,6.9,6.4,6.1,6,6.5,6.9,7.1,6.5,5.3,3.6,2.5,1.6,1.5,376877,381485,385070,363140,351759,348864,376196,407180,429172,396301,331772,245127,186771,136152,167806,6.3,6.4,6.5,6.1,5.9,5.9,6.3,6.9,7.2,6.7,5.6,4.1,3.1,2.3,2.8,6.6,6.7,6.7,6.2,6,5.9,6.4,6.9,7.2,6.6,5.4,3.9,2.8,2,2.2
Oklahoma,3918137,49.6,50.4,1941576,1976561,92.3,7.7,72.4,2.1,7.3,7.5,0.1,2.7,10.4,89.6,3615027,303110,2837772,83392,287959,294676,4471,407521,3510616,136192,144592,139956,135278,125658,116665,114931,121758,124069,110745,90922,68963,47262,30719,24241,7,7.4,7.2,7,6.5,6,5.9,6.3,6.4,5.7,4.7,3.6,2.4,1.6,1.2,126803,135559,134805,131742,122208,116843,114977,124032,130974,120130,102661,78917,58739,42796,44010,6.4,6.9,6.8,6.7,6.2,5.9,5.8,6.3,6.6,6.1,5.2,4,3,2.2,2.2,6.7,7.2,7,6.8,6.3,6,5.9,6.3,6.5,5.9,4.9,3.8,2.7,1.9,1.7
Oregon,4081943,49.6,50.4,2023021,2058922,95.3,4.7,84.4,4.3,1.9,1.2,0.4,3.1,12.8,87.2,3888283,193660,3445933,174510,77789,46961,16006,523956,3557987,126155,135507,145960,144020,141355,130661,129889,127306,128966,132711,116176,80271,52718,32741,29863,6.2,6.7,7.2,7.1,7,6.5,6.4,6.3,6.4,6.6,5.7,4,2.6,1.6,1.5,119937,129536,140633,141840,138795,126958,127705,129210,137946,144192,126347,89182,60376,41473,53399,5.8,6.3,6.8,6.9,6.7,6.2,6.2,6.3,6.7,7,6.1,4.3,2.9,2,2.6,6,6.5,7,7,6.9,6.3,6.3,6.3,6.5,6.8,5.9,4.2,2.8,1.8,2
Pennsylvania,12791181,49,51,6263189,6527992,97.6,2.4,80.8,3.3,11.1,0.2,0,2,7.1,92.9,12480301,310880,10341442,427892,1423319,24847,4107,905156,11886025,422372,428195,438627,407723,376257,369650,409982,443672,455388,417435,339035,239173,166919,115288,107663,6.7,6.8,7,6.5,6,5.9,6.5,7.1,7.3,6.7,5.4,3.8,2.7,1.8,1.7,403954,414050,422317,399081,373085,376230,418134,459506,479286,445129,374547,283264,216092,171292,216588,6.2,6.3,6.5,6.1,5.7,5.8,6.4,7,7.3,6.8,5.7,4.3,3.3,2.6,3.3,6.5,6.6,6.7,6.3,5.9,5.8,6.5,7.1,7.3,6.7,5.6,4.1,3,2.2,2.5
Rhode Island,1056611,48.6,51.4,513332,543279,96.9,3.1,80.9,3.4,6.6,0.5,0.1,5.5,15,85,1023902,32709,854502,35663,69254,5484,863,158858,897753,36543,39989,38292,34148,31068,30035,33847,37099,36680,33252,26489,18719,12281,8990,8167,7.1,7.8,7.5,6.7,6.1,5.9,6.6,7.2,7.1,6.5,5.2,3.6,2.4,1.8,1.6,36835,38991,36762,33675,32049,30259,35915,39784,40052,36061,29499,22093,15583,13579,18810,6.8,7.2,6.8,6.2,5.9,5.6,6.6,7.3,7.4,6.6,5.4,4.1,2.9,2.5,3.5,6.9,7.5,7.1,6.4,6,5.7,6.6,7.3,7.3,6.6,5.3,3.9,2.6,2.1,2.6
South Carolina,4955925,48.5,51.5,2405726,2550199,97.8,2.2,67.3,1.5,27,0.3,0.1,1.6,5.6,94.4,4845717,110208,3332986,75084,1339360,16686,3004,275685,4680240,165945,174510,167118,153268,145983,148438,151865,160572,156799,150070,136499,100618,64710,37848,28206,6.9,7.3,6.9,6.4,6.1,6.2,6.3,6.7,6.5,6.2,5.7,4.2,2.7,1.6,1.2,157695,163000,171078,157998,156178,152677,161955,173441,177514,170965,156061,117489,77941,53344,56367,6.2,6.4,6.7,6.2,6.1,6,6.4,6.8,7,6.7,6.1,4.6,3.1,2.1,2.2,6.5,6.8,6.8,6.3,6.1,6.1,6.3,6.7,6.7,6.5,5.9,4.4,2.9,1.8,1.7
