,core,excl.,low compl.
PhD,18,4,2
Master degree,162,19,35
Some graduate education,39,11,18
Bachelor degree,391,75,116
Professional degree,24,5,7
Associate degree,128,20,49
Some college,273,53,129
High school,131,30,38
Some high school,10,3,4
other,1,1,1
