"","Target","Unweighted N","Unweighted %","Wtd N","Wtd %","Change in %","Resid. Disc.","Orig. Disc."
"Native_PacIsl_MultiRace_NaN_Other",0.091,85,0.072,107.214,0.091,0.019,0,0.019
"Asian",0.054,121,0.103,63.622,0.054,-0.049,0,-0.049
"Black",0.127,85,0.072,149.629,0.127,0.055,0,0.055
"White",0.728,886,0.753,856.536,0.728,-0.025,0,-0.025
"Total",1,1177,1,1177,1,0.148,0,0.148
