"","Target","Unweighted N","Unweighted %","Wtd N","Wtd %","Change in %","Resid. Disc.","Orig. Disc."
"female",0.508,603,0.512,623.052,0.529,0.017,-0.021,-0.004
"male",0.492,574,0.488,553.948,0.471,-0.017,0.021,0.004
"Total",1,1177,1,1177,1,0.034,0.043,0.009
