PROLIFIC_PID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9
5e7132101d4f7e04f03cfc7b,2.0,1.0,3.0,4.0,42.0,31.0,1.0,2.0,4.0
5b6c312fa1fda800015fe165,2.0,1.0,2.0,3.0,32.0,29.0,2.0,2.0,4.0
5e5963e7d9d6811731e7eff9,2.0,1.0,4.0,4.0,37.0,32.0,1.0,2.0,5.0
5c533df8c94b6a0001708f23,2.0,1.0,2.0,2.0,47.0,24.0,1.0,2.0,5.0
5c0873de3be61100011a6aa5,2.0,1.0,2.0,1.0,29.0,23.0,1.0,2.0,5.0
5e06385f783225024e96cecb,2.0,1.0,2.0,1.0,14.0,29.0,2.0,2.0,5.0
5e2a290c6394eb0922046dcb,2.0,1.0,2.0,1.0,23.0,19.0,1.0,2.0,5.0
5dd7006f49f6076a287c65a2,2.0,1.0,3.0,5.0,11.0,38.0,2.0,2.0,6.0
5dcc72630a493f9157f2604f,2.0,1.0,3.0,2.0,12.0,33.0,2.0,1.0,5.0
589fcf7a9b4be40001fdcff5,2.0,1.0,2.0,1.0,5.0,34.0,2.0,2.0,5.0
5d3901e2b507ff00196f3d9a,2.0,1.0,3.0,3.0,28.0,19.0,2.0,2.0,2.0
5b2eae5577b17f0001c037af,2.0,1.0,3.0,4.0,9.0,51.0,2.0,2.0,5.0
5c95f9b9700dc10001e5ac1d,1.0,1.0,2.0,2.0,47.0,19.0,2.0,2.0,5.0
5c91c01129b394001a4e473b,2.0,1.0,2.0,2.0,21.0,23.0,1.0,2.0,5.0
5ce7b1fbb215230001627697,2.0,1.0,3.0,4.0,5.0,25.0,1.0,1.0,7.0
5dfa01ba94d5ee759ff81e76,2.0,1.0,2.0,2.0,5.0,24.0,2.0,2.0,4.0
5a9b336e35237b0001129894,2.0,1.0,2.0,2.0,22.0,27.0,1.0,2.0,5.0
5e5eddc2cf9c0421512e2591,2.0,1.0,2.0,3.0,30.0,19.0,1.0,1.0,4.0
